     Index       y_measurement           y_fitting        descriptor_1
       189    0.9235000000E-01    0.3509923369E-01   -0.1862073380E+02
       190    0.2581000000E-01    0.8894081585E-02    0.5232782155E+02
       191    0.6683000000E-01    0.3339941446E-01   -0.1401859607E+02
       192    0.8414000000E-01    0.3496465885E-01   -0.1825638215E+02
       193    0.3607000000E-01    0.2760351786E-01    0.1673375057E+01
       194    0.9213000000E-01    0.3510621320E-01   -0.1863963032E+02
       195    0.4248000000E-01    0.2925869732E-01   -0.2807903707E+01
       196    0.9193000000E-01    0.3511394356E-01   -0.1866055970E+02
       197    0.7563000000E-01    0.3440074088E-01   -0.1672961498E+02
       198    0.8404000000E-01    0.3494041257E-01   -0.1819073710E+02
       199    0.4979000000E-01    0.3071963246E-01   -0.6763279986E+01
       200    0.9177000000E-01    0.3512037000E-01   -0.1867795883E+02
       201    0.2668000000E-01    0.3590550994E-02    0.6668674731E+02
       202    0.5809000000E-01    0.3217472714E-01   -0.1070284367E+02
       203    0.9163000000E-01    0.3512267702E-01   -0.1868420490E+02
       204    0.8398000000E-01    0.3486828461E-01   -0.1799545585E+02
       205    0.6685000000E-01    0.3330926167E-01   -0.1377451391E+02
       206    0.9152000000E-01    0.3511942998E-01   -0.1867541380E+02
       207    0.7564000000E-01    0.3435582956E-01   -0.1660802085E+02
       208    0.9145000000E-01    0.3511176760E-01   -0.1865466846E+02
       209    0.8397000000E-01    0.3478625629E-01   -0.1777337009E+02
       210    0.9140000000E-01    0.3510070961E-01   -0.1862472973E+02
       211    0.9139000000E-01    0.3508822338E-01   -0.1859092417E+02
       212    0.2643000000E-01    0.1066165864E-01    0.4754223442E+02
       213    0.4239000000E-01    0.1200235653E-01    0.4391239179E+02
       214    0.3730000000E-01    0.1120324900E-01    0.4607591767E+02
       215    0.3258000000E-01    0.1928100170E-01    0.2420598606E+02
       216    0.2995000000E-01    0.1987343836E-01    0.2260200661E+02
       217    0.2712000000E-01    0.2092303416E-01    0.1976030184E+02
       218    0.2553000000E-01    0.2179307203E-01    0.1740473721E+02
       219    0.2568000000E-01    0.2413572174E-01    0.1106218242E+02
       220    0.2755000000E-01    0.2506975455E-01    0.8533356100E+01
       221    0.3110000000E-01    0.2641472377E-01    0.4891949142E+01
       222    0.3612000000E-01    0.2775108855E-01    0.1273838074E+01
       223    0.3035000000E-01   -0.3004202378E-01    0.1577445127E+03
       224    0.2894000000E-01   -0.5959575716E-02    0.9254302514E+02
       225    0.4254000000E-01    0.2908909461E-01   -0.2348716611E+01
       226    0.4986000000E-01    0.3059801747E-01   -0.6434016197E+01
       227    0.5816000000E-01    0.3205204243E-01   -0.1037068368E+02
       228    0.6691000000E-01    0.3315476233E-01   -0.1335621813E+02
       229    0.7568000000E-01    0.3426892402E-01   -0.1637273038E+02
       230    0.8401000000E-01    0.3473197332E-01   -0.1762640289E+02
       231    0.9140000000E-01    0.3507592149E-01   -0.1855761770E+02
       232    0.9739000000E-01    0.3515824670E-01   -0.1878050725E+02
       233    0.2553000000E-01    0.8491430515E-02    0.5341797022E+02
       234    0.2913000000E-01    0.1458004597E-01    0.3693348392E+02
       235    0.3461000000E-01   -0.1553549297E-01    0.1184691290E+03
       236    0.2591000000E-01    0.1166995988E-01    0.4481233170E+02
       237    0.2668000000E-01    0.5974495925E-02    0.6023238871E+02
       238    0.2845000000E-01    0.1476888468E-01    0.3642221676E+02
       239    0.3115000000E-01   -0.5099440737E-02    0.9021427185E+02
       240    0.2779000000E-01    0.1492471511E-01    0.3600031715E+02
       241    0.2928000000E-01    0.9570878973E-03    0.7381665831E+02
