     Index       y_measurement           y_fitting        descriptor_1        descriptor_2
       171    0.9464000000E-01    0.4665820485E-01   -0.7423975687E+02   -0.2908420548E+01
       172    0.3255000000E-01    0.2947190123E-01   -0.6452044763E+02   -0.5910276277E+01
       173    0.9425000000E-01    0.4651969035E-01   -0.7425499925E+02   -0.2975467630E+01
       174    0.2992000000E-01    0.2758593734E-01   -0.6100421141E+02   -0.5117854940E+01
       175    0.9387000000E-01    0.4639013665E-01   -0.7427329875E+02   -0.3040028875E+01
       176    0.2709000000E-01    0.2960850663E-01   -0.6148534381E+02   -0.4461103865E+01
       177    0.9351000000E-01    0.4626634150E-01   -0.7429079252E+02   -0.3101723941E+01
       178    0.2550000000E-01    0.3026124980E-01   -0.6129400981E+02   -0.4090419990E+01
       179    0.3053000000E-01    0.1194471790E-01   -0.5398479241E+02   -0.8686106729E+01
       180    0.9319000000E-01    0.4614556547E-01   -0.7430416847E+02   -0.3160224000E+01
       181    0.5806000000E-01    0.3999251371E-01   -0.7158066837E+02   -0.4581260216E+01
       182    0.8429000000E-01    0.4396162707E-01   -0.7399776281E+02   -0.3966969322E+01
       183    0.2565000000E-01    0.3365868589E-01   -0.6297691192E+02   -0.3387811617E+01
       184    0.9288000000E-01    0.4602744686E-01   -0.7431230840E+02   -0.3215173817E+01
       185    0.7569000000E-01    0.4239340494E-01   -0.7341030054E+02   -0.4377998781E+01
       186    0.2751000000E-01    0.3562629415E-01   -0.6317698673E+02   -0.2626183347E+01
       187    0.9260000000E-01    0.4591464256E-01   -0.7431695940E+02   -0.3266221324E+01
       188    0.3105000000E-01    0.3632213486E-01   -0.6441428879E+02   -0.2891057744E+01
       189    0.9235000000E-01    0.4581148261E-01   -0.7432162162E+02   -0.3313091699E+01
       190    0.2581000000E-01    0.1474909018E-01   -0.5874938567E+02   -0.9651948681E+01
       191    0.6683000000E-01    0.4109884335E-01   -0.7262487554E+02   -0.4579697852E+01
       192    0.8414000000E-01    0.4393056487E-01   -0.7405089293E+02   -0.4004770510E+01
       193    0.3607000000E-01    0.3639712545E-01   -0.6591986152E+02   -0.3548018941E+01
       194    0.9213000000E-01    0.4572146957E-01   -0.7432931300E+02   -0.3355648127E+01
       195    0.4248000000E-01    0.3815527218E-01   -0.6881772541E+02   -0.4112682995E+01
       196    0.9193000000E-01    0.4564517458E-01   -0.7434053730E+02   -0.3393873632E+01
       197    0.7563000000E-01    0.4242315888E-01   -0.7349170428E+02   -0.4402375038E+01
       198    0.8404000000E-01    0.4387183163E-01   -0.7406090718E+02   -0.4034826225E+01
       199    0.4979000000E-01    0.3899270011E-01   -0.7032063519E+02   -0.4437793847E+01
       200    0.9177000000E-01    0.4558028152E-01   -0.7435320987E+02   -0.3427817936E+01
       201    0.2668000000E-01    0.1289954848E-01   -0.5745621964E+02   -0.9861793502E+01
       202    0.5809000000E-01    0.3997213500E-01   -0.7159458093E+02   -0.4596468733E+01
       203    0.9163000000E-01    0.4552378970E-01   -0.7436447141E+02   -0.3457472854E+01
       204    0.8398000000E-01    0.4378689472E-01   -0.7403080745E+02   -0.4057874855E+01
       205    0.6685000000E-01    0.4103240727E-01   -0.7260935408E+02   -0.4601399757E+01
       206    0.9152000000E-01    0.4547403943E-01   -0.7437256040E+02   -0.3482751428E+01
       207    0.7564000000E-01    0.4237239245E-01   -0.7348298200E+02   -0.4420395503E+01
       208    0.9145000000E-01    0.4543178793E-01   -0.7437772398E+02   -0.3503438458E+01
       209    0.8397000000E-01    0.4370676855E-01   -0.7399092598E+02   -0.4074357738E+01
       210    0.9140000000E-01    0.4539767057E-01   -0.7438024910E+02   -0.3519389833E+01
       211    0.9139000000E-01    0.4537326935E-01   -0.7438123692E+02   -0.3530423794E+01
       212    0.2643000000E-01    0.1442107709E-01   -0.5653676120E+02   -0.8780914512E+01
       213    0.4239000000E-01    0.1423717988E-01   -0.5576598559E+02   -0.8507682862E+01
       214    0.3730000000E-01    0.1565423272E-01   -0.5485070895E+02   -0.7474024843E+01
       215    0.3258000000E-01    0.2789939935E-01   -0.6384962185E+02   -0.6284985121E+01
       216    0.2995000000E-01    0.2844131737E-01   -0.6142144035E+02   -0.4937990568E+01
       217    0.2712000000E-01    0.3114521586E-01   -0.6191289464E+02   -0.3990508119E+01
       218    0.2553000000E-01    0.3253987961E-01   -0.6176196615E+02   -0.3316594300E+01
       219    0.2568000000E-01    0.3574066744E-01   -0.6323100196E+02   -0.2601321799E+01
       220    0.2755000000E-01    0.3701437086E-01   -0.6363356062E+02   -0.2233333257E+01
       221    0.3110000000E-01    0.3672002756E-01   -0.6479852270E+02   -0.2894472528E+01
       222    0.3612000000E-01    0.3677549500E-01   -0.6629300935E+02   -0.3554823040E+01
       223    0.3035000000E-01    0.2647350504E-01   -0.5158656496E+02   -0.1287425936E+01
       224    0.2894000000E-01    0.5022939318E-02   -0.5412027826E+02   -0.1174978110E+02
       225    0.4254000000E-01    0.3807975706E-01   -0.6879017899E+02   -0.4132815165E+01
       226    0.4986000000E-01    0.3893177564E-01   -0.7029113572E+02   -0.4450704376E+01
       227    0.5816000000E-01    0.3990334873E-01   -0.7155949668E+02   -0.4610230970E+01
       228    0.6691000000E-01    0.4091953505E-01   -0.7253629318E+02   -0.4616888354E+01
       229    0.7568000000E-01    0.4230407068E-01   -0.7344534611E+02   -0.4432787778E+01
       230    0.8401000000E-01    0.4366271676E-01   -0.7397081364E+02   -0.4084250292E+01
       231    0.9140000000E-01    0.4536002927E-01   -0.7438165676E+02   -0.3536357616E+01
       232    0.9739000000E-01    0.4733138968E-01   -0.7463687262E+02   -0.2798354214E+01
       233    0.2553000000E-01    0.1365892931E-01   -0.5788254303E+02   -0.9727723997E+01
       234    0.2913000000E-01    0.1820170978E-01   -0.5771354416E+02   -0.7680354440E+01
       235    0.3461000000E-01    0.1429718548E-01   -0.5293394878E+02   -0.7184722996E+01
       236    0.2591000000E-01    0.1456401310E-01   -0.5688899803E+02   -0.8880238083E+01
       237    0.2668000000E-01    0.1181959052E-01   -0.5773598331E+02   -0.1045823560E+02
       238    0.2845000000E-01    0.1795709363E-01   -0.5761717042E+02   -0.7742297599E+01
       239    0.3115000000E-01    0.9545366705E-02   -0.5405626965E+02   -0.9759318212E+01
       240    0.2779000000E-01    0.1745868459E-01   -0.5753266127E+02   -0.7919731429E+01
       241    0.2928000000E-01    0.9166102637E-02   -0.5616046036E+02   -0.1088740550E+02
       242    0.2979000000E-01    0.2169136307E-01   -0.5293210303E+02   -0.3977393686E+01
       243    0.2548000000E-01    0.1412315637E-01   -0.5703497714E+02   -0.9138267046E+01
       244    0.2532000000E-01    0.1073964221E-01   -0.5592413377E+02   -0.1009681393E+02
       245    0.2718000000E-01    0.1747070409E-01   -0.5790756187E+02   -0.8086205855E+01
       246    0.2673000000E-01    0.1299288976E-01   -0.5830791528E+02   -0.1021135225E+02
       247    0.3220000000E-01    0.2155881393E-01   -0.5829266311E+02   -0.6489755704E+01
       248    0.3571000000E-01    0.1601445327E-01   -0.5558305321E+02   -0.7653194169E+01
       249    0.3138000000E-01    0.2144533514E-01   -0.5836163785E+02   -0.6570552921E+01
       250    0.3176000000E-01    0.8857019705E-02   -0.5434336414E+02   -0.1018929544E+02
       251    0.2510000000E-01    0.1466464122E-01   -0.5735223889E+02   -0.9048743044E+01
       252    0.2662000000E-01    0.1762233209E-01   -0.5815541747E+02   -0.8133958495E+01
       253    0.2822000000E-01    0.1577208245E-01   -0.5382221192E+02   -0.6951916498E+01
       254    0.2517000000E-01    0.1195706137E-01   -0.5684678726E+02   -0.9991411798E+01
       255    0.3061000000E-01    0.2117313075E-01   -0.5838222930E+02   -0.6698024222E+01
       256    0.2970000000E-01    0.8406307918E-02   -0.5322596760E+02   -0.9873031958E+01
       257    0.2989000000E-01    0.2107033119E-01   -0.5858719191E+02   -0.6836466387E+01
       258    0.2687000000E-01    0.1371170145E-01   -0.5825384518E+02   -0.9874878126E+01
       259    0.2614000000E-01    0.1819539050E-01   -0.5845390731E+02   -0.8022145980E+01
       260    0.2482000000E-01    0.1509607018E-01   -0.5771787645E+02   -0.9029098586E+01
       261    0.3663000000E-01    0.2631170617E-01   -0.5939376643E+02   -0.4932917735E+01
       262    0.3679000000E-01    0.1199716645E-01   -0.5400655160E+02   -0.8673327101E+01
       263    0.3568000000E-01    0.2586684884E-01   -0.5936453472E+02   -0.5112443316E+01
       264    0.3100000000E-01    0.2873256561E-01   -0.5244618319E+02   -0.7014489978E+00
       265    0.3250000000E-01    0.1171903108E-01   -0.5687175234E+02   -0.1010606642E+02
       266    0.2924000000E-01    0.2109487073E-01   -0.5881404301E+02   -0.6929711857E+01
       267    0.2511000000E-01    0.1285273231E-01   -0.5716832517E+02   -0.9750253323E+01
       268    0.3480000000E-01    0.2571459767E-01   -0.5966336164E+02   -0.5315315560E+01
       269    0.3013000000E-01    0.1670584490E-01   -0.5905502903E+02   -0.8943372430E+01
       270    0.2576000000E-01    0.1822941450E-01   -0.5848967412E+02   -0.8023770980E+01
       271    0.3401000000E-01    0.2542166919E-01   -0.5982013136E+02   -0.5514137045E+01
       272    0.2712000000E-01    0.1047356868E-01   -0.5596342291E+02   -0.1023018924E+02
       273    0.2461000000E-01    0.1581898021E-01   -0.5804204244E+02   -0.8864061394E+01
       274    0.2869000000E-01    0.2126412190E-01   -0.5902403912E+02   -0.6952484362E+01
       275    0.2829000000E-01    0.1505580527E-01   -0.5371642868E+02   -0.7214086289E+01
       276    0.2515000000E-01    0.1430229841E-01   -0.5752559441E+02   -0.9285261552E+01
       277    0.3330000000E-01    0.2522058402E-01   -0.5999247749E+02   -0.5680263948E+01
       278    0.4238000000E-01    0.3057778286E-01   -0.6034464744E+02   -0.3518392566E+01
       279    0.3780000000E-01    0.1845962326E-01   -0.5722105448E+02   -0.7342973397E+01
       280    0.4133000000E-01    0.3009034063E-01   -0.6062344311E+02   -0.3857447007E+01
       281    0.3325000000E-01    0.1234942447E-01   -0.5432963149E+02   -0.8668525717E+01
       282    0.2553000000E-01    0.1910392333E-01   -0.5884915768E+02   -0.7809166758E+01
       283    0.2822000000E-01    0.2193491656E-01   -0.5954128036E+02   -0.6898466294E+01
       284    0.2910000000E-01    0.1362132122E-01   -0.5662305208E+02   -0.9167245658E+01
       285    0.4037000000E-01    0.2949412775E-01   -0.6078263451E+02   -0.4188896739E+01
       286    0.2897000000E-01    0.1971763200E-01   -0.5369471388E+02   -0.5182541453E+01
       287    0.2450000000E-01    0.1727893070E-01   -0.5866778660E+02   -0.8517515202E+01
       288    0.3268000000E-01    0.2526715053E-01   -0.6028778166E+02   -0.5795305683E+01
       289    0.2741000000E-01    0.1264976878E-01   -0.5692304079E+02   -0.9725939824E+01
       290    0.3951000000E-01    0.2903295874E-01   -0.6097575492E+02   -0.4477322596E+01
       291    0.2784000000E-01    0.2247063054E-01   -0.5981405407E+02   -0.6791071419E+01
       292    0.2528000000E-01    0.1648246452E-01   -0.5865201189E+02   -0.8855678580E+01
       293    0.3874000000E-01    0.2869951555E-01   -0.6115151216E+02   -0.4702408661E+01
       294    0.2533000000E-01    0.1977217411E-01   -0.5899635664E+02   -0.7586790042E+01
       295    0.3215000000E-01    0.2551222535E-01   -0.6063237763E+02   -0.5846837619E+01
       296    0.4934000000E-01    0.3332490059E-01   -0.6185205098E+02   -0.3017424640E+01
       297    0.2726000000E-01    0.1540852352E-01   -0.5729535575E+02   -0.8700108814E+01
       298    0.3888000000E-01    0.1538259840E-01   -0.5430945187E+02   -0.7343948972E+01
       299    0.3413000000E-01    0.2494842592E-01   -0.6111948373E+02   -0.6314400637E+01
       300    0.4820000000E-01    0.3277746216E-01   -0.6210891168E+02   -0.3372451245E+01
       301    0.2448000000E-01    0.1870561520E-01   -0.5913872220E+02   -0.8114499832E+01
       302    0.3807000000E-01    0.2857975960E-01   -0.6139557965E+02   -0.4866112140E+01
       303    0.2966000000E-01    0.1238009672E-01   -0.5622475278E+02   -0.9523100309E+01
       304    0.4718000000E-01    0.3222985130E-01   -0.6227949114E+02   -0.3688039914E+01
       305    0.2755000000E-01    0.2316092608E-01   -0.6014906314E+02   -0.6645143110E+01
       306    0.3172000000E-01    0.2577141576E-01   -0.6081790322E+02   -0.5819401653E+01
       307    0.2781000000E-01    0.1632029993E-01   -0.5863124832E+02   -0.8916492501E+01
       308    0.1093000000E-01    0.5516418704E-01   -0.1071560448E+03   -0.1429390026E+02
