name    target    f1    f2    f3    f4    f5    f6    iz1    iz2    iz3    iz4    iz5    iz6
bridge-10-194    0.07944    -717.0859    -663.07324    -57.67388    49.32235    164.59962    2824.88517    1.21033    0.72798    0.01217    3.73E-04    0.03799    216.60953
bridge-10-195    0.02526    -703.58589    -653.01576    35.66346    62.14331    203.14162    2808.8822    9.00E-06    0.00521    0.05046    0.01477    0.48615    152.26931
bridge-10-196    0.07875    -717.63966    -661.77609    -57.52984    50.17223    164.70267    2825.08086    1.08442    0.76745    0.01107    4.16E-04    0.03812    216.87303
bridge-10-197    0.03601    -710.30362    -651.3317    30.47863    50.73894    183.68306    2814.81289    0.0709    0.22286    0.0031    0.03092    0.21112    209.13467
bridge-10-198    0.06788    -716.80237    -656.80416    -50.75256    53.76695    166.7538    2819.48761    0.63108    0.79649    0.0072    0.00311    0.04818    223.78131
bridge-10-199    0.02546    -705.06026    -655.23421    33.74077    58.49219    197.47662    2807.60072    0.00233    0.00747    0.04647    0.00847    0.42584    167.59693
bridge-10-2    0.02946    -694.17429    -622.66392    -82.23691    48.07036    341.18957    2803.01538    0.02359    0.78545    0.03568    0.12615    1.04245    79.37573
bridge-10-20    0.02678    -685.89045    -645.29561    -45.65505    81.81918    256.76769    2804.89182    0.01328    0.50938    0.02998    0.14162    0.67103    117.03119
bridge-10-200    0.07814    -718.36641    -660.84376    -57.39493    50.91638    164.86827    2824.97632    0.96057    0.80205    0.00987    4.70E-04    0.03844    216.94675
bridge-10-201    0.04989    -714.52464    -650.93049    -30.51395    54.15608    173.98168    2819.12376    0.20035    0.55536    0.003    0.01556    0.10472    223.02067
bridge-10-202    0.05844    -716.1917    -652.92398    -42.37359    54.62409    170.01787    2819.97689    0.3311    0.73693    0.00449    0.00835    0.07061    225.13729
bridge-10-203    0.0274    -707.4661    -652.98336    37.87755    52.79764    193.54052    2812.30769    0.00855    0.04368    0.03917    0.00912    0.36028    184.16969
bridge-10-204    0.07761    -719.47801    -659.96077    -57.26808    51.5651    165.09477    2824.64105    0.8426    0.82571    0.00859    5.35E-04    0.0389    216.85687
bridge-10-205    0.04244    -713.57534    -652.14967    -7.5727    52.68486    178.73736    2815.30347    0.11883    0.38894    0.00193    0.0239    0.15481    216.99566
bridge-10-206    0.06755    -719.30397    -656.28529    -50.9035    54.1342    167.15111    2820.5135    0.51181    0.8152    0.00581    0.00336    0.0498    222.90894
bridge-10-207    0.03096    -710.57188    -651.70872    38.59888    47.69758    188.40499    2811.74551    0.02022    0.13191    0.01322    0.028    0.28614    197.18014
bridge-10-208    0.07715    -721.03446    -658.88238    -57.14165    52.12858    165.379    2824.48522    0.73015    0.83842    0.00728    6.09E-04    0.03946    216.64129
bridge-10-209    0.05826    -719.16928    -652.98885    -42.92918    54.78413    170.46651    2818.54572    0.23438    0.74962    0.00341    0.00876    0.07317    223.95557
